sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
1	deepbgc	0.1.0	deepbgc	1_2-74062.1	2	74062	74060	67	127	17	0.97081	antibacterial-cytotoxic	0.58	0.52	0.12	0.07		0.05	0.49	0.05	0.47	0.00	0.09	0.03	1_1_1;1_1_2;1_1_3;1_1_4;1_1_5;1_1_6;1_1_7;1_1_8;1_1_9;1_1_10;1_1_11;1_1_12;1_1_13;1_1_14;1_1_15;1_1_16;1_1_17;1_1_18;1_1_19;1_1_20;1_1_21;1_1_22;1_1_23;1_1_24;1_1_25;1_1_26;1_1_27;1_1_28;1_1_29;1_1_30;1_1_31;1_1_32;1_1_33;1_1_34;1_1_35;1_1_36;1_1_37;1_1_38;1_1_39;1_1_40;1_1_41;1_1_42;1_1_43;1_1_44;1_1_45;1_1_46;1_1_47;1_1_48;1_1_49;1_1_50;1_1_51;1_1_52;1_1_53;1_1_54;1_1_55;1_1_56;1_1_57;1_1_58;1_1_59;1_1_60;1_1_61;1_1_62;1_1_63;1_1_64;1_1_65;1_1_66;1_1_67	PF00106;PF02719;PF00668;PF00561;PF01494;PF04321;PF00501;PF01593;PF01243;PF01039;PF00248;PF00067;PF08659;PF01266;PF01370;PF03364;PF03756	PF01593;PF13450;PF13738;PF00743;PF13434;PF01565;PF09265;PF10604;PF12146;PF12697;PF00561;PF01648;PF12833;PF00165;PF01381;PF00440;PF12852;PF08592;PF01814;PF05368;PF13460;PF00501;PF13561;PF00106;PF08659;PF01370;PF13822;PF01039;PF00266;PF00486;PF03704;PF10604;PF03364;PF13424;PF13560;PF01381;PF00440;PF03704;PF00486;PF13977;PF00440;PF00440;PF00067;PF03756;PF00106;PF08659;PF02719;PF13561;PF13460;PF12900;PF01243;PF07045;PF02661;PF00248;PF10012;PF04542;PF07638;PF08281;PF04545;PF01435;PF01370;PF01073;PF04321;PF16363;PF13460;PF08659;PF05368;PF02254;PF00106;PF00550;PF13193;PF00668;PF00550;PF13193;PF00501;PF00550;PF13193;PF00501;PF00550;PF00501;PF00668;PF00668;PF05977;PF13347;PF07690;PF04107;PF13202;PF13499;PF00036;PF13833;PF13405;PF17103;PF17102;PF11380;PF17101;PF00501;PF13193;PF02133;PF11720;PF13193;PF00501;PF07992;PF12831;PF01946;PF01593;PF13450;PF00890;PF01134;PF03486;PF00070;PF01266;PF01494;PF14691;PF13468;PF16483;PF06189;PF04686;PF16859;PF00440;PF02796;PF13561;PF00106;PF17074;PF05368;PF13460;PF00126;PF03466
1	deepbgc	0.1.0	deepbgc	1_79179-81163.1	79179	81163	1984	2	4	2	0.64743	antibacterial	0.83	0.10	0.16	0.22	Other	0.00	0.02	0.53	0.08	0.16	0.10	0.14	1_1_73;1_1_74	PF03033;PF04101	PF00486;PF00072;PF03033;PF04101
1	deepbgc	0.1.0	deepbgc	1_93055-93805.1	93055	93805	750	1	1	0	0.50413	antibacterial	0.87	0.07	0.17	0.26		0.00	0.10	0.07	0.33	0.21	0.03	0.31	1_1_88		PF11716
1	deepbgc	0.1.0	deepbgc	1_128035-139610.1	128035	139610	11575	10	25	7	0.67201	cytotoxic	0.27	0.51	0.19	0.08		0.07	0.04	0.37	0.11	0.18	0.05	0.23	1_1_124;1_1_125;1_1_126;1_1_127;1_1_128;1_1_129;1_1_130;1_1_131;1_1_132;1_1_133	PF00171;PF01593;PF00248;PF00583;PF08241;PF08242;PF02771	PF01209;PF08003;PF03848;PF13847;PF13489;PF02353;PF05175;PF05401;PF13649;PF08241;PF08242;PF00479;PF02781;PF02771;PF00462;PF13523;PF08445;PF13302;PF00583;PF00440;PF00248;PF00171;PF01593;PF13450;PF00890
1	deepbgc	0.1.0	deepbgc	1_146760-150268.1	146760	150268	3508	4	3	1	0.53600	antibacterial	0.60	0.05	0.13	0.16	Other	0.00	0.05	0.51	0.17	0.12	0.02	0.16	1_1_141;1_1_142;1_1_143;1_1_144	PF00903	PF00440;PF13977;PF00903
1	deepbgc	0.1.0	deepbgc	1_154185-161006.1	154185	161006	6821	8	6	1	0.69231	antibacterial	0.53	0.00	0.35	0.00	Polyketide	0.02	0.34	0.10	0.57	0.00	0.00	0.40	1_1_147;1_1_148;1_1_149;1_1_150;1_1_151;1_1_152;1_1_153;1_1_154	PF00067	PF00067;PF00282;PF01212;PF00266;PF14016;PF09414
1	deepbgc	0.1.0	deepbgc	1_164696-213936.1	164696	213936	49240	45	77	7	0.85484	antibacterial	0.53	0.24	0.24	0.08		0.03	0.49	0.14	0.32	0.07	0.06	0.05	1_1_157;1_1_158;1_1_159;1_1_160;1_1_161;1_1_162;1_1_163;1_1_164;1_1_165;1_1_166;1_1_167;1_1_168;1_1_169;1_1_170;1_1_171;1_1_172;1_1_173;1_1_174;1_1_175;1_1_176;1_1_177;1_1_178;1_1_179;1_1_180;1_1_181;1_1_182;1_1_183;1_1_184;1_1_185;1_1_186;1_1_187;1_1_188;1_1_189;1_1_190;1_1_191;1_1_192;1_1_193;1_1_194;1_1_195;1_1_196;1_1_197;1_1_198;1_1_199;1_1_200;1_1_201	PF00106;PF00561;PF00501;PF00067;PF08659;PF01636;PF01370	PF04294;PF12229;PF13374;PF13424;PF13191;PF00089;PF13365;PF07714;PF00069;PF01636;PF00652;PF14200;PF01370;PF00106;PF13460;PF13561;PF08659;PF16363;PF01433;PF00550;PF13193;PF00501;PF01475;PF00141;PF01894;PF13304;PF00005;PF13555;PF12399;PF02653;PF02653;PF13458;PF13433;PF01094;PF00135;PF07859;PF08223;PF07848;PF02333;PF00083;PF07690;PF13347;PF06570;PF00072;PF00486;PF00672;PF00512;PF02518;PF16868;PF12974;PF09084;PF14333;PF14333;PF07452;PF04203;PF02567;PF00144;PF16715;PF00067;PF12697;PF00561;PF08386;PF03096;PF12146;PF13384;PF10901;PF00196;PF04545;PF13384;PF14394;PF13551;PF12833;PF00165;PF00196;PF08281;PF13384;PF01636
1	deepbgc	0.1.0	deepbgc	1_255094-266424.1	255094	266424	11330	13	24	3	0.71599		0.41	0.42	0.19	0.05		0.02	0.31	0.36	0.19	0.10	0.00	0.03	1_1_240;1_1_241;1_1_242;1_1_243;1_1_244;1_1_245;1_1_246;1_1_247;1_1_248;1_1_249;1_1_250;1_1_251;1_1_252	PF00501;PF08242;PF08241	PF00072;PF14273;PF03466;PF00126;PF13556;PF12840;PF12802;PF00484;PF13560;PF02560;PF03301;PF01209;PF08241;PF08242;PF13649;PF13489;PF00501;PF13193;PF00144;PF04545;PF07638;PF08281;PF04542;PF03795
1	deepbgc	0.1.0	deepbgc	1_314903-315509.1	314903	315509	606	1	2	0	0.52677	antibacterial	0.61	0.05	0.12	0.17		0.00	0.05	0.39	0.19	0.17	0.02	0.21	1_1_297		PF00440;PF13305
1	deepbgc	0.1.0	deepbgc	1_327196-497287.1	327196	497287	170091	177	245	20	0.86339		0.46	0.33	0.27	0.16		0.02	0.21	0.23	0.31	0.23	0.09	0.01	1_1_307;1_1_308;1_1_309;1_1_310;1_1_311;1_1_312;1_1_313;1_1_314;1_1_315;1_1_316;1_1_317;1_1_318;1_1_319;1_1_320;1_1_321;1_1_322;1_1_323;1_1_324;1_1_325;1_1_326;1_1_327;1_1_328;1_1_329;1_1_330;1_1_331;1_1_332;1_1_333;1_1_334;1_1_335;1_1_336;1_1_337;1_1_338;1_1_339;1_1_340;1_1_341;1_1_342;1_1_343;1_1_344;1_1_345;1_1_346;1_1_347;1_1_348;1_1_349;1_1_350;1_1_351;1_1_352;1_1_353;1_1_354;1_1_355;1_1_356;1_1_357;1_1_358;1_1_359;1_1_360;1_1_361;1_1_362;1_1_363;1_1_364;1_1_365;1_1_366;1_1_367;1_1_368;1_1_369;1_1_370;1_1_371;1_1_372;1_1_373;1_1_374;1_1_375;1_1_376;1_1_377;1_1_378;1_1_379;1_1_380;1_1_381;1_1_382;1_1_383;1_1_384;1_1_385;1_1_386;1_1_387;1_1_388;1_1_389;1_1_390;1_1_391;1_1_392;1_1_393;1_1_394;1_1_395;1_1_396;1_1_397;1_1_398;1_1_399;1_1_400;1_1_401;1_1_402;1_1_403;1_1_404;1_1_405;1_1_406;1_1_407;1_1_408;1_1_409;1_1_410;1_1_411;1_1_412;1_1_413;1_1_414;1_1_415;1_1_416;1_1_417;1_1_418;1_1_419;1_1_420;1_1_421;1_1_422;1_1_423;1_1_424;1_1_425;1_1_426;1_1_427;1_1_428;1_1_429;1_1_430;1_1_431;1_1_432;1_1_433;1_1_434;1_1_435;1_1_436;1_1_437;1_1_438;1_1_439;1_1_440;1_1_441;1_1_442;1_1_443;1_1_444;1_1_445;1_1_446;1_1_447;1_1_448;1_1_449;1_1_450;1_1_451;1_1_452;1_1_453;1_1_454;1_1_455;1_1_456;1_1_457;1_1_458;1_1_459;1_1_460;1_1_461;1_1_462;1_1_463;1_1_464;1_1_465;1_1_466;1_1_467;1_1_468;1_1_469;1_1_470;1_1_471;1_1_472;1_1_473;1_1_474;1_1_475;1_1_476;1_1_477;1_1_478;1_1_479;1_1_480;1_1_481;1_1_482;1_1_483	PF00857;PF00107;PF02585;PF00583;PF08659;PF01636;PF08242;PF01370;PF04183;PF00106;PF01494;PF08240;PF03364;PF00561;PF05147;PF00975;PF04321;PF04738;PF04820;PF08241	PF02518;PF13581;PF07730;PF14316;PF03600;PF03176;PF04069;PF00528;PF00005;PF13191;PF13555;PF03193;PF08279;PF00392;PF13545;PF12802;PF01047;PF09339;PF13463;PF01978;PF13545;PF00392;PF05368;PF01370;PF13460;PF06276;PF04183;PF04183;PF06276;PF13489;PF13847;PF13649;PF08241;PF08242;PF01565;PF08031;PF00089;PF13365;PF00561;PF12697;PF12146;PF12695;PF00975;PF00756;PF08592;PF00440;PF13305;PF05147;PF04738;PF14028;PF08241;PF08242;PF05729;PF13481;PF09848;PF13411;PF00376;PF13517;PF15975;PF01145;PF13556;PF00561;PF08386;PF13359;PF01609;PF01638;PF01370;PF04321;PF00106;PF05368;PF13460;PF10727;PF00005;PF13555;PF13304;PF01636;PF00293;PF05977;PF07690;PF13347;PF12832;PF13489;PF05175;PF02353;PF01209;PF13847;PF07021;PF08241;PF08242;PF13649;PF08003;PF01135;PF03848;PF13489;PF13847;PF13649;PF08241;PF08242;PF00293;PF02585;PF00857;PF13551;PF00313;PF08206;PF01068;PF16859;PF13556;PF12728;PF13022;PF00440;PF13384;PF13518;PF00005;PF13481;PF13555;PF13191;PF13476;PF13304;PF00069;PF07714;PF01135;PF08704;PF07021;PF13489;PF01728;PF01209;PF13847;PF13649;PF08242;PF08241;PF00353;PF12697;PF01738;PF12695;PF03403;PF07730;PF13581;PF00072;PF08281;PF04545;PF00196;PF07705;PF01345;PF01526;PF13586;PF01609;PF12833;PF00165;PF14525;PF10101;PF14247;PF02031;PF00413;PF13556;PF00970;PF00175;PF00111;PF00487;PF03096;PF09752;PF12697;PF12146;PF00561;PF12695;PF00975;PF13602;PF00107;PF16884;PF08240;PF00724;PF12802;PF01047;PF13463;PF13560;PF01381;PF00069;PF07714;PF01163;PF06293;PF10756;PF09017;PF13302;PF00583;PF08445;PF08592;PF00440;PF11066;PF07398;PF00188;PF04820;PF01494;PF07992;PF03486;PF12831;PF01134;PF00296;PF11160;PF13466;PF01740;PF00999;PF00106;PF00106;PF13561;PF00106;PF13561;PF01370;PF08659;PF10604;PF03364;PF00033;PF13631;PF12270;PF00115;PF16561;PF10025;PF10025;PF00011;PF01740;PF13466;PF00011;PF00440;PF13305;PF05121;PF00741;PF06386;PF00741;PF05120;PF06386;PF00741;PF05800;PF07382;PF03364;PF08327;PF05532;PF07332;PF03780;PF10031;PF03780;PF07638;PF04542;PF08281;PF04545;PF03780;PF04226;PF03976
