sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_1143-9307.1	1143	9307	8164	4	8	0	0.55675	antibacterial	0.85	0.09	0.16	0.28		0.00	0.09	0.07	0.33	0.21	0.03	0.32	CP042324.1_CP042324.1_2;CP042324.1_CP042324.1_3;CP042324.1_CP042324.1_4;CP042324.1_CP042324.1_5		PF00270;PF04851;PF03457;PF06527;PF03457;PF13565;PF00665;PF09299
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_10406-33357.1	10406	33357	22951	24	27	1	0.69541	antibacterial	0.74	0.14	0.06	0.10		0.01	0.04	0.19	0.08	0.40	0.21	0.07	CP042324.1_CP042324.1_7;CP042324.1_CP042324.1_8;CP042324.1_CP042324.1_9;CP042324.1_CP042324.1_10;CP042324.1_CP042324.1_11;CP042324.1_CP042324.1_12;CP042324.1_CP042324.1_13;CP042324.1_CP042324.1_14;CP042324.1_CP042324.1_15;CP042324.1_CP042324.1_16;CP042324.1_CP042324.1_17;CP042324.1_CP042324.1_18;CP042324.1_CP042324.1_19;CP042324.1_CP042324.1_20;CP042324.1_CP042324.1_21;CP042324.1_CP042324.1_22;CP042324.1_CP042324.1_23;CP042324.1_CP042324.1_24;CP042324.1_CP042324.1_25;CP042324.1_CP042324.1_26;CP042324.1_CP042324.1_27;CP042324.1_CP042324.1_28;CP042324.1_CP042324.1_29;CP042324.1_CP042324.1_30	PF04101	PF06527;PF06965;PF00999;PF01590;PF13492;PF03861;PF14690;PF01610;PF01695;PF01695;PF13555;PF13191;PF13304;PF12079;PF00932;PF03984;PF13088;PF03457;PF12680;PF08281;PF04545;PF04542;PF01734;PF13579;PF13439;PF00201;PF04101
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_37613-39812.1	37613	39812	2199	3	6	0	0.54026	antibacterial	0.73	0.15	0.13	0.28		0.00	0.18	0.27	0.31	0.15	0.01	0.10	CP042324.1_CP042324.1_36;CP042324.1_CP042324.1_37;CP042324.1_CP042324.1_38		PF13463;PF12802;PF01047;PF01978;PF12697;PF03861
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_45266-121371.1	45266	121371	76105	55	118	11	0.83590		0.49	0.32	0.22	0.19	Polyketide	0.05	0.14	0.15	0.67	0.08	0.02	0.05	CP042324.1_CP042324.1_46;CP042324.1_CP042324.1_47;CP042324.1_CP042324.1_48;CP042324.1_CP042324.1_49;CP042324.1_CP042324.1_50;CP042324.1_CP042324.1_51;CP042324.1_CP042324.1_52;CP042324.1_CP042324.1_53;CP042324.1_CP042324.1_54;CP042324.1_CP042324.1_55;CP042324.1_CP042324.1_56;CP042324.1_CP042324.1_57;CP042324.1_CP042324.1_58;CP042324.1_CP042324.1_59;CP042324.1_CP042324.1_60;CP042324.1_CP042324.1_61;CP042324.1_CP042324.1_62;CP042324.1_CP042324.1_63;CP042324.1_CP042324.1_64;CP042324.1_CP042324.1_65;CP042324.1_CP042324.1_66;CP042324.1_CP042324.1_67;CP042324.1_CP042324.1_68;CP042324.1_CP042324.1_69;CP042324.1_CP042324.1_70;CP042324.1_CP042324.1_71;CP042324.1_CP042324.1_72;CP042324.1_CP042324.1_73;CP042324.1_CP042324.1_74;CP042324.1_CP042324.1_75;CP042324.1_CP042324.1_76;CP042324.1_CP042324.1_77;CP042324.1_CP042324.1_78;CP042324.1_CP042324.1_79;CP042324.1_CP042324.1_80;CP042324.1_CP042324.1_81;CP042324.1_CP042324.1_82;CP042324.1_CP042324.1_83;CP042324.1_CP042324.1_84;CP042324.1_CP042324.1_85;CP042324.1_CP042324.1_86;CP042324.1_CP042324.1_87;CP042324.1_CP042324.1_88;CP042324.1_CP042324.1_89;CP042324.1_CP042324.1_90;CP042324.1_CP042324.1_91;CP042324.1_CP042324.1_92;CP042324.1_CP042324.1_93;CP042324.1_CP042324.1_94;CP042324.1_CP042324.1_95;CP042324.1_CP042324.1_96;CP042324.1_CP042324.1_97;CP042324.1_CP042324.1_98;CP042324.1_CP042324.1_99;CP042324.1_CP042324.1_100	PF02801;PF00109;PF00698;PF01243;PF00107;PF08659;PF01266;PF08240;PF07993;PF01370;PF00106	PF08240;PF00208;PF00107;PF13602;PF13602;PF06824;PF13377;PF00532;PF13407;PF00356;PF00480;PF01547;PF13416;PF00528;PF00528;PF03663;PF01074;PF07748;PF05593;PF12802;PF13340;PF06779;PF07690;PF00083;PF12832;PF08974;PF13586;PF01609;PF13340;PF01609;PF13586;PF01068;PF03747;PF12706;PF13483;PF00753;PF13354;PF00144;PF00126;PF03466;PF13011;PF01527;PF13518;PF13384;PF13551;PF13565;PF00665;PF13683;PF13333;PF13683;PF00665;PF13276;PF13565;PF01527;PF13011;PF13551;PF13518;PF13384;PF13586;PF01609;PF13340;PF13340;PF10946;PF00042;PF00970;PF00175;PF01243;PF00457;PF13340;PF13560;PF00106;PF01370;PF08659;PF13561;PF13340;PF00440;PF00106;PF01370;PF13561;PF13460;PF04616;PF14028;PF12698;PF00005;PF13191;PF13304;PF13476;PF00743;PF07992;PF13738;PF13450;PF01266;PF13434;PF06974;PF03007;PF01370;PF07993;PF16363;PF01073;PF03060;PF01645;PF00109;PF02801;PF16197;PF00698;PF00550;PF08659;PF00106;PF13561;PF01073;PF14765;PF00109;PF02801;PF16197;PF00698;PF07977;PF00753;PF12706
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_122742-128290.1	122742	128290	5548	4	8	1	0.53313	antibacterial	0.58	0.05	0.07	0.34		0.00	0.38	0.29	0.15	0.12	0.01	0.06	CP042324.1_CP042324.1_102;CP042324.1_CP042324.1_103;CP042324.1_CP042324.1_104;CP042324.1_CP042324.1_105	PF00561	PF13191;PF13401;PF00196;PF13384;PF12146;PF00561;PF12697;PF12695
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_170910-191657.1	170910	191657	20747	19	75	11	0.66526	cytotoxic	0.23	0.63	0.12	0.08	Terpene	0.09	0.02	0.05	0.11	0.01	0.09	0.71	CP042324.1_CP042324.1_149;CP042324.1_CP042324.1_150;CP042324.1_CP042324.1_151;CP042324.1_CP042324.1_152;CP042324.1_CP042324.1_153;CP042324.1_CP042324.1_154;CP042324.1_CP042324.1_155;CP042324.1_CP042324.1_156;CP042324.1_CP042324.1_157;CP042324.1_CP042324.1_158;CP042324.1_CP042324.1_159;CP042324.1_CP042324.1_160;CP042324.1_CP042324.1_161;CP042324.1_CP042324.1_162;CP042324.1_CP042324.1_163;CP042324.1_CP042324.1_164;CP042324.1_CP042324.1_165;CP042324.1_CP042324.1_166;CP042324.1_CP042324.1_167	PF02737;PF01593;PF08242;PF00355;PF00348;PF00494;PF08241;PF00107;PF01266;PF08240;PF01494	PF11066;PF03441;PF04244;PF00348;PF13738;PF01266;PF01946;PF03486;PF00070;PF07992;PF12831;PF00890;PF13450;PF01593;PF00494;PF00355;PF01593;PF01266;PF13450;PF12831;PF00890;PF03486;PF00070;PF01946;PF07992;PF01262;PF01134;PF02737;PF01494;PF01209;PF13489;PF13847;PF13578;PF08241;PF08242;PF13649;PF05175;PF05834;PF07992;PF01266;PF00890;PF13450;PF01593;PF01266;PF13450;PF01946;PF12831;PF03486;PF00890;PF05834;PF07992;PF01494;PF01134;PF02310;PF02607;PF13411;PF12728;PF13518;PF00376;PF13384;PF01527;PF04542;PF08281;PF04545;PF13412;PF14344;PF10099;PF12900;PF00582;PF13602;PF00107;PF01262;PF08240;PF00582;PF07681
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_194759-195461.1	194759	195461	702	1	6	0	0.50176	antibacterial	0.81	0.07	0.10	0.20		0.00	0.06	0.15	0.31	0.35	0.01	0.17	CP042324.1_CP042324.1_170		PF00196;PF08281;PF04545;PF13412;PF13936;PF00072
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_211747-220764.1	211747	220764	9017	10	16	4	0.74452	antibacterial	0.67	0.13	0.25	0.24	Polyketide	0.02	0.05	0.12	0.61	0.05	0.04	0.16	CP042324.1_CP042324.1_183;CP042324.1_CP042324.1_184;CP042324.1_CP042324.1_185;CP042324.1_CP042324.1_186;CP042324.1_CP042324.1_187;CP042324.1_CP042324.1_188;CP042324.1_CP042324.1_189;CP042324.1_CP042324.1_190;CP042324.1_CP042324.1_191;CP042324.1_CP042324.1_192	PF08659;PF01370;PF00583;PF00106	PF02613;PF02665;PF12680;PF14534;PF07366;PF13586;PF13302;PF00583;PF14027;PF02909;PF08659;PF01370;PF00106;PF13561;PF13460;PF00440
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_245985-247869.1	245985	247869	1884	2	4	2	0.52321	antibacterial	0.82	0.07	0.18	0.12	Terpene	0.01	0.03	0.01	0.06	0.38	0.00	0.51	CP042324.1_CP042324.1_217;CP042324.1_CP042324.1_218	PF08659;PF00106	PF00106;PF08659;PF13561;PF04909
CP042324.1	deepbgc	0.1.0	deepbgc	CP042324.1_248676-249702.1	248676	249702	1026	1	3	2	0.53282	inhibitor	0.29	0.05	0.66	0.06	Polyketide	0.00	0.20	0.05	0.80	0.01	0.00	0.01	CP042324.1_CP042324.1_220	PF08240;PF00107	PF08240;PF00107;PF13602
